,phrase,label,sentiment,subjectivity,language,count
NCS,NCS,ORG,-0.09762962962962964,0.19022222222222224,en,15
USGS,USGS,ORG,0.020416666666666663,0.36291666666666667,en,10
the US Geological Survey,the US Geological Survey,ORG,0.011363636363636355,0.24166666666666667,en,6
BMKG,BMKG,ORG,0.13333333333333333,0.5833333333333334,en,6
the National Centre for Seismology,the National Centre for Seismology,ORG,-0.26666666666666666,0.3,en,5
the National Center for Seismology,the National Center for Seismology,ORG,-0.07166666666666666,0.205,en,4
AP,AP,ORG,0.07738095238095237,0.3404761904761905,en,4
Geophysics Agency,Geophysics Agency,ORG,0.15000000000000002,0.6875,en,4
Cascadia,Cascadia,ORG,-0.1414141414141414,0.22676767676767678,en,4
MetMalaysia,MetMalaysia,ORG,0.10833333333333332,0.2416666666666667,en,3
magnitude-6.3,magnitude-6.3,ORG,0.016666666666666666,0.1111111111111111,en,3
Fener Greek Orthodox School,Fener Greek Orthodox School,ORG,0.004040404040404035,0.18888888888888888,en,3
Taliban,Taliban,ORG,0.016666666666666666,0.11944444444444446,en,3
Campi Flegrei,Campi Flegrei,ORG,0.02070707070707072,0.4366161616161616,en,3
AFAD,AFAD,ORG,-0.09999999999999999,0.09999999999999999,en,3
The Japan Air Self-Defense Force,The Japan Air Self-Defense Force,ORG,0.19318181818181818,0.19696969696969696,en,2
National Center for Seismology,National Center for Seismology,ORG,-0.07222222222222223,0.16666666666666666,en,2
Google,Google,ORG,0.0,0.0,en,2
The US Geological Survey,The US Geological Survey,ORG,0.04583333333333334,0.4791666666666667,en,2
SAATNM,SAATNM,ORG,0.16249999999999998,0.21250000000000002,en,2
Disaster and Emergency Management Authority,Disaster and Emergency Management Authority,ORG,-0.15,0.15,en,2
Traveller,Traveller,ORG,-0.5,0.25,en,2
PHT,PHT,ORG,0.2625,0.31875,en,2
The Malaysian Meteorological Department,The Malaysian Meteorological Department,ORG,0.16249999999999998,0.21250000000000002,en,2
KUALA LUMPUR,KUALA LUMPUR,ORG,0.16249999999999998,0.21250000000000002,en,2
Seismometers,Seismometers,ORG,-0.1811111111111111,0.0,en,1
the Great Assam School Shakeout Programme,the Great Assam School Shakeout Programme,ORG,0.4166666666666667,0.0,en,1
designboom | architecture & desig,designboom | architecture & desig,ORG,0.024999999999999998,0.0,en,1
MyanmarWhen,MyanmarWhen,ORG,-0.5,0.0,en,1
blue temple,blue temple,ORG,-0.1,0.0,en,1
Sci-Fi Western ‘,Sci-Fi Western ‘,ORG,0.0,0.0,en,1
the U.S. Geological Survey,the U.S. Geological Survey,ORG,0.3333333333333333,0.0,en,1
Department of Mineral and Geoscience,Department of Mineral and Geoscience,ORG,0.0,0.0,en,1
Islam,Islam,ORG,-0.25,0.0,en,1
the White House,the White House,ORG,0.0,0.0,en,1
"NewsFeed
","NewsFeed
",ORG,0.0,0.0,en,1
