,phrase,label,sentiment,subjectivity,language,count
Ferdinand Marcos Jr,Ferdinand Marcos Jr,PERSON,0.08333333333333333,0.4291666666666667,en,4
Typhoon Kalmaegi,Typhoon Kalmaegi,PERSON,-0.09206349206349207,0.33033730158730157,en,4
Mazar-e Sharif,Mazar-e Sharif,PERSON,-0.0024999999999999953,0.22749999999999998,en,4
Antonia Bornas,Antonia Bornas,PERSON,0.07222222222222222,0.24722222222222223,en,2
TANGI TASHQURGHAN,TANGI TASHQURGHAN,PERSON,-0.05,0.44999999999999996,en,2
Batu Pahat,Batu Pahat,PERSON,0.25,0.375,en,1
Raphael Eblahan,Raphael Eblahan,PERSON,0.0,0.0,en,1
Erik Thorsen,Erik Thorsen,PERSON,0.1,0.1,en,1
Aftab Pureval,Aftab Pureval,PERSON,0.0,0.15,en,1
Dara Noor,Dara Noor,PERSON,0.14545454545454545,0.3333333333333333,en,1
Mazar-e Sharif city,Mazar-e Sharif city,PERSON,0.0,0.0,en,1
Don Josephus Raphael Eblahan,Don Josephus Raphael Eblahan,PERSON,0.0,0.0,en,1
Don Josephus,Don Josephus,PERSON,0.0,0.0,en,1
Marcos Jr,Marcos Jr,PERSON,0.0,0.0,en,1
Red Ba,Red Ba,PERSON,0.06628787878787878,0.3333333333333333,en,1
Amanda Castro,Amanda Castro,PERSON,0.06628787878787878,0.3333333333333333,en,1
nan An,nan An,PERSON,-0.21666666666666667,0.3,en,1
Ralph Cad,Ralph Cad,PERSON,0.15,0.5,en,1
Lembang Fault,Lembang Fault,PERSON,0.0,0.0,en,1
Chris Goldfinger,Chris Goldfinger,PERSON,-0.25,0.25,en,1
Mike Steckler,Mike Steckler,PERSON,0.0,0.0,en,1
